country,countryCode,city,isp,org,as,query,valid
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.176.103,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.176.71,True
United Arab Emirates,AE,Dubai,Oracle Corporation,Oracle Cloud Infrastructure (me-dubai-1),AS31898 Oracle Corporation,139.185.38.137,True
